Wall time,Step,Value
1537392974.0689187,474,3.2783565521240234
1537392974.8426201,586,4.951518535614014
1537392987.840116,2486,3.9611101150512695
1537393001.6091013,4492,2.3836734294891357
1537393017.8457937,6711,2.9231677055358887
1537393022.6081991,7463,4.02180290222168
1537393035.1582386,9260,3.8473448753356934
1537393036.5583782,9468,3.826120615005493
1537393047.2995002,10966,3.708242893218994
1537393054.0848396,11969,2.5733540058135986
1537393083.4012733,16116,3.983135938644409
1537393111.8155453,20062,5.910452842712402
1537393115.1392956,20539,3.559382677078247
1537393126.8413603,22330,3.7867343425750732
1537393143.5729914,24727,4.445801258087158
1537393147.3302996,25253,3.632993221282959
1537393187.7160542,30612,1.923615574836731
1537393196.8650389,31936,4.130615711212158
1537393205.5146155,33181,2.1368234157562256
1537393209.8864458,33785,7.9575724601745605
1537393225.2008235,35953,5.841300010681152
1537393229.9791486,36629,3.9082305431365967
1537393230.1990697,36659,3.841648578643799
1537393237.4388194,37764,4.518615245819092
1537393238.1655328,37876,5.340764999389648
1537393244.8525732,38840,2.2288520336151123
1537393278.8909726,43639,2.2206456661224365
1537393281.6016054,43993,2.669969320297241
1537393283.1128614,44200,2.9073283672332764
1537393291.0189319,45372,2.1850178241729736
1537393298.7533731,46413,3.203639507293701
1537393345.370409,52906,2.4504635334014893
1537393373.276149,56521,1.9085092544555664
1537393390.0021503,58746,3.8110592365264893
1537393400.0700665,60179,5.6380743980407715
1537393402.0241342,60475,2.190873622894287
1537393414.437516,62139,3.173220157623291
1537393431.0592465,64521,2.72648286819458
1537393439.2458072,65643,4.0102009773254395
1537393446.8771937,66787,2.610942840576172
1537393448.423684,67021,3.3975391387939453
1537393451.2225807,67440,2.0849661827087402
1537393472.9178815,70656,2.2084503173828125
1537393477.8561218,71428,3.753592014312744
1537393481.7024763,71957,2.556532859802246
1537393488.3332562,73009,3.3259084224700928
1537393540.7482874,80390,3.803799867630005
1537393542.3960586,80613,2.5984609127044678
1537393572.5404313,84601,3.4308252334594727
1537393576.0618515,85089,4.048371315002441
1537393588.13658,86780,4.413869857788086
1537393588.762739,86865,7.493113040924072
1537393592.2377343,87393,3.025056838989258
1537393597.7027974,88137,4.834598064422607
1537393605.6209693,89347,2.4956161975860596
1537393605.7198396,89363,2.4709293842315674
1537393609.7137668,89973,3.3361082077026367
1537393611.4318988,90237,5.355711936950684
1537393621.4538937,91647,3.209577798843384
1537393624.5357978,92120,4.491856098175049
1537393636.8944693,93901,3.677774667739868
1537393647.4501252,95480,3.6027493476867676
1537393653.199663,96301,4.9034037590026855
1537393668.517812,98474,3.0706121921539307
1537393678.1851456,99884,2.383779764175415
1537393684.9504685,100858,3.8012454509735107
1537393692.152304,101943,2.8268392086029053
1537393699.350405,103001,3.441636085510254
1537393708.6881618,104334,4.008543968200684
1537393712.588091,104896,2.3761703968048096
1537393718.6222277,105774,9.518134117126465
1537393732.631326,107837,2.327366352081299
1537393737.678147,108586,2.703019857406616
1537393756.1084304,111323,2.119518518447876
1537393788.0262098,115518,4.044903755187988
1537393799.1043723,117047,5.060367584228516
1537393803.2370553,117635,2.3225412368774414
1537393807.1012974,118190,3.1913390159606934
1537393828.0077665,121192,3.8951985836029053
1537393829.0474901,121332,3.157656669616699
1537393829.5564659,121403,2.529250383377075
1537393832.6979506,121835,2.114415407180786
1537393891.954067,130071,2.5744447708129883
1537393904.210314,131680,3.8781895637512207
1537393905.6930966,131876,10.216386795043945
1537393923.4294567,134376,3.7363243103027344
1537393923.5222335,134389,3.3416075706481934
1537393924.1265585,134474,3.657189130783081
1537393959.045717,139403,2.453594207763672
1537393959.3632648,139449,2.2658376693725586
1537393963.1046185,139975,3.1251773834228516
1537393963.702678,140055,2.6646087169647217
1537393971.8195052,140750,2.3001575469970703
1537393973.5712774,140989,3.467287302017212
1537393986.3371108,142892,2.502869129180908
1537393995.9955425,144226,2.7850420475006104
1537393996.4246564,144285,3.134992837905884
1537394013.7209642,146696,6.4702277183532715
1537394042.6401217,150758,2.368687391281128
1537394043.3779356,150863,2.206146478652954
1537394044.6736796,151042,3.0778098106384277
1537394046.3659172,151276,4.112655162811279
1537394057.2857027,152766,2.6342740058898926
1537394083.9648883,156652,4.133234977722168
1537394087.1844397,157130,3.5065107345581055
1537394090.7138708,157623,3.3411214351654053
1537394108.5822158,160252,1.9050246477127075
1537394125.7863145,162789,4.383419036865234
1537394129.3373382,163296,2.357957601547241
1537394138.9462929,164622,3.189650535583496
1537394145.101977,165463,3.8449156284332275
1537394146.061427,165597,5.0766119956970215
1537394147.591964,165800,3.534397602081299
1537394157.5564766,167234,1.8818103075027466
1537394179.4364107,169963,3.7805275917053223
1537394181.1453454,170188,3.4944283962249756
1537394192.111671,171669,3.310508966445923
1537394201.8447757,172972,3.1774709224700928
1537394202.742685,173093,4.3056640625
1537394206.096337,173556,1.8305518627166748
1537394214.006312,174647,3.453216552734375
1537394235.2041726,177777,2.9700233936309814
1537394241.2072947,178661,3.5335161685943604
1537394241.5273309,178701,3.7440805435180664
1537394245.0427938,179196,4.020481586456299
1537394257.9234886,181108,4.046030044555664
1537394264.882174,182087,2.733018398284912
1537394270.6484952,182949,3.485405921936035
1537394272.996984,183271,2.504563331604004
1537394275.401359,183598,3.0267271995544434
1537394285.5351906,185058,4.3681745529174805
1537394293.3642282,186232,2.7089345455169678
1537394299.4174879,187090,3.0321385860443115
1537394299.7801874,187140,2.6589152812957764
